N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,CODE
1306.0,TIGER 글로벌멀티에셋TIF액티브,9470.0,0.0,0.00%,0.0,208.0,2200.0,0.0,23518.0,,,440340
1307.0,메리츠 인버스 천연가스 선물 ETN(H),20785.0,685.0,+3.41%,0.0,208.0,1000.0,0.0,21457.0,,,610044
1308.0,키움 인버스 미국달러선물 ETN,10370.0,0.0,0.00%,0.0,207.0,2000.0,0.0,0.0,,,760004
1309.0,대신 밀 선물 ETN(H),10345.0,25.0,+0.24%,0.0,207.0,2000.0,0.0,1012.0,,,510015
1310.0,미래에셋 인버스 2X 은 선물 ETN,20500.0,345.0,-1.66%,0.0,205.0,1000.0,0.0,434.0,,,520034
1311.0,KODEX 삼성전자채권혼합Wise,10250.0,65.0,+0.64%,0.0,205.0,2000.0,0.2,8814.0,,,448330
1312.0,ARIRANG 코스피50,22765.0,80.0,+0.35%,0.0,205.0,900.0,0.0,516.0,,,122090
1313.0,TRUE 인버스 2X 금 선물 ETN,20430.0,0.0,0.00%,0.0,204.0,1000.0,0.0,24.0,,,570060
1314.0,미래에셋 인버스 천연가스 선물 ETN(H),20415.0,370.0,+1.85%,0.0,204.0,1000.0,0.0,617.0,,,520053
1315.0,TRUE 인버스 2X 은 선물 ETN,20410.0,340.0,-1.64%,0.0,204.0,1000.0,0.0,811.0,,,570062
1316.0,미래에셋 미디어엔터 Core5 ETN,10125.0,0.0,0.00%,0.0,202.0,2000.0,0.0,0.0,,,520014
1317.0,대신 레버리지 KRX 금현물 ETN,20170.0,195.0,-0.96%,0.0,202.0,1000.0,0.0,9.0,,,510030
1318.0,KBSTAR 200선물레버리지,14295.0,165.0,+1.17%,0.0,200.0,1400.0,0.07,27810.0,,,252400
1319.0,신한 K200 USD 선물 바이셀 ETN,10005.0,115.0,+1.16%,0.0,200.0,2000.0,0.0,5.0,,,500001
1320.0,WOORI 대한민국국고채액티브,51120.0,260.0,+0.51%,0.0,199.0,390.0,0.0,95.0,,,426150
1321.0,KB 레버리지 항셍테크 선물 ETN(H) B,19890.0,0.0,0.00%,0.0,199.0,1000.0,0.0,0.0,,,580047
1322.0,TRUE 인버스 2X 구리 선물 ETN,19840.0,575.0,-2.82%,0.0,198.0,1000.0,0.0,7272.0,,,570073
1323.0,메리츠 인버스 국채3년 ETN,9900.0,5.0,+0.05%,0.0,198.0,2000.0,0.0,8.0,,,610047
1324.0,신한 인버스 2X 다우존스지수 선물 ETN(H),1975.0,50.0,-2.47%,0.0,198.0,10000.0,0.0,78249.0,,,500028
1325.0,QV 레버리지 금 선물 ETN(H),19600.0,0.0,0.00%,0.0,196.0,1000.0,0.0,0.0,,,550062
1326.0,QV iSelect 글로벌 EMP ETN(H),9800.0,0.0,0.00%,0.0,196.0,2000.0,0.0,0.0,,,550059
1327.0,메리츠 레버리지 금 선물 ETN(H),19390.0,5.0,+0.03%,0.0,194.0,1000.0,0.0,54.0,,,610012
1328.0,ACE 아시아TOP50S&P,12860.0,0.0,0.00%,0.0,193.0,1500.0,0.0,902.0,,,277540
1329.0,NPC우,3650.0,20.0,+0.55%,500.0,193.0,5280.0,1.96,110233.0,5.45,,004255
1330.0,메리츠 국채10년 ETN,9630.0,30.0,+0.31%,0.0,193.0,2000.0,0.0,42.0,,,610018
1331.0,비케이탑스,904.0,0.0,0.00%,500.0,192.0,21248.0,1.14,0.0,-0.69,-243.33,030790
